Transaction_ID,Date,Base_Currency,Target_Currency,Transfer_Amount_USD,Provider_Markup_Factor,Status,Real_Market_Rate,Applied_Provider_Rate,Cost_Leakage_USD,Compliance_Flag
TXN-1001,2026-08-16,USD,PHP,11097.14,1.04,Completed,61.39,63.57,393.78,REVIEW: HIGH SPREAD
TXN-1002,2026-08-16,USD,JPY,4002.97,1.03,Completed,159.01,163.48,112.48,CLEARED
TXN-1003,2026-08-16,USD,AUD,10188.62,1.02,Completed,1.41,1.44,184.18,REVIEW: HIGH VALUE
TXN-1004,2026-08-16,USD,GBP,2752.7,1.01,Delayed,0.74,0.75,28.2,CLEARED
TXN-1005,2026-08-16,USD,AUD,14040.78,1.02,Completed,1.41,1.44,276.97,REVIEW: HIGH VALUE
TXN-1006,2026-08-16,USD,JPY,5270.33,1.03,Completed,159.01,163.03,133.13,CLEARED
TXN-1007,2026-08-16,USD,GBP,13284.75,1.02,Completed,0.74,0.75,225.15,REVIEW: HIGH VALUE
TXN-1008,2026-08-16,USD,PHP,6919.33,1.03,Completed,61.39,63.49,236.54,REVIEW: HIGH SPREAD
TXN-1009,2026-08-16,USD,PHP,1614.11,1.01,Completed,61.39,62.01,16.32,CLEARED
TXN-1010,2026-08-16,USD,AUD,11615.66,1.03,Completed,1.41,1.45,307.12,REVIEW: HIGH VALUE
TXN-1011,2026-08-16,USD,GBP,7759.13,1.03,Completed,0.74,0.76,200.74,CLEARED
TXN-1012,2026-08-16,USD,AUD,554.3,1.02,Failed,1.41,1.44,9.49,CLEARED
TXN-1013,2026-08-16,USD,AUD,12995.47,1.02,Completed,1.41,1.44,299.83,REVIEW: HIGH VALUE
TXN-1014,2026-08-16,USD,JPY,2677.88,1.04,Completed,159.01,164.84,98.13,REVIEW: HIGH SPREAD
TXN-1015,2026-08-16,USD,PHP,2723.12,1.01,Completed,61.39,62.21,36.54,CLEARED
TXN-1016,2026-08-16,USD,GBP,4917.22,1.02,Completed,0.74,0.76,110.45,CLEARED
TXN-1017,2026-08-16,USD,AUD,7566.25,1.03,Completed,1.41,1.46,253.91,REVIEW: HIGH SPREAD
TXN-1018,2026-08-16,USD,JPY,1251.6,1.02,Completed,159.01,162.92,30.8,CLEARED
TXN-1019,2026-08-16,USD,PHP,10828.73,1.02,Completed,61.39,62.69,229.19,REVIEW: HIGH VALUE
TXN-1020,2026-08-16,USD,PHP,1579.92,1.04,Completed,61.39,63.78,61.5,REVIEW: HIGH SPREAD
TXN-1021,2026-08-16,USD,JPY,14468.54,1.04,Completed,159.01,165.28,570.69,REVIEW: HIGH SPREAD
TXN-1022,2026-08-16,USD,JPY,8014.75,1.03,Completed,159.01,163.92,247.73,REVIEW: HIGH SPREAD
TXN-1023,2026-08-16,USD,JPY,6344.08,1.02,Completed,159.01,162.11,123.81,CLEARED
TXN-1024,2026-08-16,USD,EUR,10759.25,1.04,Completed,0.86,0.9,406.61,REVIEW: HIGH SPREAD
TXN-1025,2026-08-16,USD,PHP,788.42,1.02,Completed,61.39,62.76,17.59,CLEARED
TXN-1026,2026-08-16,USD,EUR,9360.47,1.03,Completed,0.86,0.89,281.17,REVIEW: HIGH SPREAD
TXN-1027,2026-08-16,USD,PHP,9475.39,1.01,Delayed,61.39,62.03,99.32,CLEARED
TXN-1028,2026-08-16,USD,PHP,11463.5,1.03,Delayed,61.39,62.93,288.54,REVIEW: HIGH VALUE
TXN-1029,2026-08-16,USD,AUD,11660.27,1.02,Completed,1.41,1.44,204.94,REVIEW: HIGH VALUE
TXN-1030,2026-08-16,USD,GBP,3997.28,1.02,Completed,0.74,0.75,63.67,CLEARED
TXN-1031,2026-08-16,USD,GBP,6817.95,1.03,Completed,0.74,0.76,216.34,REVIEW: HIGH SPREAD
TXN-1032,2026-08-16,USD,JPY,2253.91,1.03,Completed,159.01,163.03,57.03,CLEARED
TXN-1033,2026-08-16,USD,PHP,9273.63,1.03,Completed,61.39,62.93,232.22,CLEARED
TXN-1034,2026-08-16,USD,GBP,10153.29,1.01,Completed,0.74,0.75,149.95,REVIEW: HIGH VALUE
TXN-1035,2026-08-16,USD,EUR,1222.04,1.04,Completed,0.86,0.9,48.1,REVIEW: HIGH SPREAD
TXN-1036,2026-08-16,USD,EUR,13878.76,1.01,Completed,0.86,0.88,195.8,REVIEW: HIGH VALUE
TXN-1037,2026-08-16,USD,AUD,8298.2,1.01,Completed,1.41,1.43,91.34,CLEARED
TXN-1038,2026-08-16,USD,GBP,13555.49,1.04,Completed,0.74,0.77,523.45,REVIEW: HIGH SPREAD
TXN-1039,2026-08-16,USD,JPY,2759.19,1.02,Completed,159.01,162.57,61.74,CLEARED
TXN-1040,2026-08-16,USD,GBP,7230.55,1.02,Completed,0.74,0.75,150.52,CLEARED
TXN-1041,2026-08-16,USD,JPY,10563.99,1.04,Completed,159.01,164.96,395.62,REVIEW: HIGH SPREAD
TXN-1042,2026-08-16,USD,GBP,8821.41,1.01,Completed,0.74,0.75,113.94,CLEARED
TXN-1043,2026-08-16,USD,GBP,3311.05,1.04,Completed,0.74,0.77,125.64,REVIEW: HIGH SPREAD
TXN-1044,2026-08-16,USD,AUD,5225.52,1.02,Completed,1.41,1.44,104.11,CLEARED
TXN-1045,2026-08-16,USD,EUR,3532.94,1.03,Completed,0.86,0.89,92.23,CLEARED
TXN-1046,2026-08-16,USD,EUR,10306.74,1.03,Completed,0.86,0.89,328.26,REVIEW: HIGH SPREAD
TXN-1047,2026-08-16,USD,JPY,2883.45,1.03,Completed,159.01,163.58,82.93,CLEARED
TXN-1048,2026-08-16,USD,GBP,14237.41,1.01,Completed,0.74,0.75,171.53,REVIEW: HIGH VALUE
TXN-1049,2026-08-16,USD,EUR,6031.85,1.04,Completed,0.86,0.9,219.1,REVIEW: HIGH SPREAD
TXN-1050,2026-08-16,USD,AUD,11221.89,1.02,Delayed,1.41,1.43,176.97,REVIEW: HIGH VALUE
TXN-1051,2026-08-16,USD,AUD,3548.55,1.03,Completed,1.41,1.45,102.88,CLEARED
TXN-1052,2026-08-16,USD,JPY,2561.13,1.03,Delayed,159.01,163.9,78.82,REVIEW: HIGH SPREAD
TXN-1053,2026-08-16,USD,EUR,6045.2,1.03,Completed,0.86,0.89,191.35,REVIEW: HIGH SPREAD
TXN-1054,2026-08-16,USD,AUD,4340.01,1.03,Completed,1.41,1.46,137.91,REVIEW: HIGH SPREAD
TXN-1055,2026-08-16,USD,GBP,689.72,1.03,Completed,0.74,0.76,18.91,CLEARED
TXN-1056,2026-08-16,USD,EUR,7576.56,1.01,Completed,0.86,0.87,82.53,CLEARED
TXN-1057,2026-08-16,USD,AUD,3400.15,1.02,Completed,1.41,1.45,80.39,CLEARED
TXN-1058,2026-08-16,USD,AUD,2463.88,1.01,Completed,1.41,1.43,31.84,CLEARED
TXN-1059,2026-08-16,USD,EUR,1665.55,1.02,Completed,0.86,0.88,35.04,CLEARED
TXN-1060,2026-08-16,USD,PHP,5410.02,1.02,Completed,61.39,62.75,120.32,CLEARED
TXN-1061,2026-08-16,USD,GBP,8512.18,1.02,Completed,0.74,0.76,201.36,CLEARED
TXN-1062,2026-08-16,USD,JPY,2577.66,1.04,Completed,159.01,164.97,96.54,REVIEW: HIGH SPREAD
TXN-1063,2026-08-16,USD,PHP,812.24,1.03,Completed,61.39,63.47,27.53,REVIEW: HIGH SPREAD
TXN-1064,2026-08-16,USD,PHP,2334.41,1.02,Completed,61.39,62.48,41.58,CLEARED
TXN-1065,2026-08-16,USD,EUR,1719.85,1.03,Completed,0.86,0.89,54.21,REVIEW: HIGH SPREAD
TXN-1066,2026-08-16,USD,AUD,10804.26,1.03,Completed,1.41,1.45,282.3,REVIEW: HIGH VALUE
TXN-1067,2026-08-16,USD,AUD,3221.0,1.02,Completed,1.41,1.43,51.65,CLEARED
TXN-1068,2026-08-16,USD,EUR,9579.32,1.03,Completed,0.86,0.89,244.14,CLEARED
TXN-1069,2026-08-16,USD,GBP,9945.2,1.01,Completed,0.74,0.75,101.31,CLEARED
TXN-1070,2026-08-16,USD,PHP,3117.24,1.02,Completed,61.39,62.64,63.65,CLEARED
TXN-1071,2026-08-16,USD,GBP,10002.6,1.01,Completed,0.74,0.75,101.28,REVIEW: HIGH VALUE
TXN-1072,2026-08-16,USD,JPY,9205.8,1.02,Failed,159.01,162.1,178.83,CLEARED
TXN-1073,2026-08-16,USD,GBP,7052.8,1.03,Failed,0.74,0.76,229.26,REVIEW: HIGH SPREAD
TXN-1074,2026-08-16,USD,AUD,7347.72,1.03,Completed,1.41,1.45,196.32,CLEARED
TXN-1075,2026-08-16,USD,EUR,12385.1,1.03,Completed,0.86,0.89,325.03,REVIEW: HIGH VALUE
TXN-1076,2026-08-16,USD,JPY,4049.85,1.03,Completed,159.01,163.04,102.59,CLEARED
TXN-1077,2026-08-16,USD,EUR,13322.59,1.02,Completed,0.86,0.88,303.63,REVIEW: HIGH VALUE
TXN-1078,2026-08-16,USD,JPY,13639.71,1.01,Completed,159.01,160.62,138.13,REVIEW: HIGH VALUE
TXN-1079,2026-08-16,USD,JPY,10798.92,1.04,Completed,159.01,164.68,385.1,REVIEW: HIGH SPREAD
TXN-1080,2026-08-16,USD,PHP,14019.23,1.02,Completed,61.39,62.35,219.04,REVIEW: HIGH VALUE
TXN-1081,2026-08-16,USD,JPY,1054.94,1.02,Delayed,159.01,161.91,19.22,CLEARED
TXN-1082,2026-08-16,USD,GBP,2548.66,1.01,Completed,0.74,0.75,26.62,CLEARED
TXN-1083,2026-08-16,USD,PHP,2150.13,1.02,Completed,61.39,62.63,43.37,CLEARED
TXN-1084,2026-08-16,USD,GBP,9898.06,1.02,Completed,0.74,0.76,228.82,CLEARED
TXN-1085,2026-08-16,USD,PHP,11075.9,1.01,Completed,61.39,62.12,131.29,REVIEW: HIGH VALUE
TXN-1086,2026-08-16,USD,PHP,12700.29,1.02,Completed,61.39,62.41,210.58,REVIEW: HIGH VALUE
TXN-1087,2026-08-16,USD,GBP,2865.81,1.04,Completed,0.74,0.77,112.97,REVIEW: HIGH SPREAD
TXN-1088,2026-08-16,USD,AUD,8647.52,1.02,Completed,1.41,1.44,190.69,CLEARED
TXN-1089,2026-08-16,USD,EUR,7340.97,1.02,Completed,0.86,0.88,135.31,CLEARED
TXN-1090,2026-08-16,USD,AUD,14469.22,1.02,Completed,1.41,1.44,260.59,REVIEW: HIGH VALUE
TXN-1091,2026-08-16,USD,JPY,3857.52,1.03,Delayed,159.01,163.87,117.86,REVIEW: HIGH SPREAD
TXN-1092,2026-08-16,USD,EUR,11829.03,1.03,Completed,0.86,0.89,304.38,REVIEW: HIGH VALUE
TXN-1093,2026-08-16,USD,AUD,12819.41,1.04,Completed,1.41,1.47,510.32,REVIEW: HIGH SPREAD
TXN-1094,2026-08-16,USD,EUR,4352.28,1.02,Completed,0.86,0.88,98.36,CLEARED
TXN-1095,2026-08-16,USD,GBP,14513.29,1.03,Completed,0.74,0.76,499.81,REVIEW: HIGH SPREAD
TXN-1096,2026-08-16,USD,EUR,11012.56,1.02,Failed,0.86,0.88,192.88,REVIEW: HIGH VALUE
TXN-1097,2026-08-16,USD,PHP,9995.96,1.03,Completed,61.39,63.27,306.35,REVIEW: HIGH SPREAD
TXN-1098,2026-08-16,USD,EUR,1783.76,1.01,Completed,0.86,0.88,26.48,CLEARED
TXN-1099,2026-08-16,USD,JPY,2182.72,1.02,Completed,159.01,162.26,44.65,CLEARED
TXN-1100,2026-08-16,USD,JPY,7340.31,1.03,Completed,159.01,164.41,249.17,REVIEW: HIGH SPREAD
TXN-1101,2026-08-16,USD,GBP,3541.5,1.02,Completed,0.74,0.75,73.21,CLEARED
TXN-1102,2026-08-16,USD,GBP,7486.85,1.01,Completed,0.74,0.75,75.17,CLEARED
TXN-1103,2026-08-16,USD,JPY,4206.31,1.01,Completed,159.01,160.97,51.76,CLEARED
TXN-1104,2026-08-16,USD,AUD,4403.26,1.03,Completed,1.41,1.46,141.34,REVIEW: HIGH SPREAD
TXN-1105,2026-08-16,USD,GBP,12451.13,1.02,Completed,0.74,0.76,308.67,REVIEW: HIGH VALUE
TXN-1106,2026-08-16,USD,GBP,2894.21,1.03,Completed,0.74,0.76,79.76,CLEARED
TXN-1107,2026-08-16,USD,AUD,13951.25,1.01,Completed,1.41,1.43,194.7,REVIEW: HIGH VALUE
TXN-1108,2026-08-16,USD,JPY,1955.87,1.03,Completed,159.01,163.27,52.38,CLEARED
TXN-1109,2026-08-16,USD,JPY,8121.5,1.04,Completed,159.01,164.68,289.5,REVIEW: HIGH SPREAD
